Position_x,Position_y,value
0,1,1.5
0.025,1,1.5
0.05,1,1.5
0.075,1,1.5
0.1,1,1.5
0.125,1,1.5
0.15,1,1.5
0.175,1,1.5
0.2,1,1.5
0.225,1,1.5
0.25,1,1.5
0.275,1,1.5
0.3,1,1.5
0.325,1,1.5
0.35,1,1.5
0.375,1,1.5
0.4,1,1.5
0.425,1,1.5
0.45,1,1.5
0.475,1,1.5
0.5,1,1.5
0.525,1,1.5
0.55,1,1.5
0.575,1,1.5
0.6,1,1.5
0.625,1,1.5
0.65,1,1.5
0.675,1,1.5
0.7,1,1.5
0.725,1,1.5
0.75,1,1.5
0.775,1,1.5
0.8,1,1.5
0.825,1,1.5
0.85,1,1.5
0.875,1,1.5
0.9,1,1.5
0.925,1,1.5
0.95,1,1.5
0.975,1,1.5
1,1,1.5
0,0.975,1.5
0.025,0.975,1.5
0.05,0.975,1.5
0.075,0.975,1.5
0.1,0.975,1.5
0.125,0.975,1.5
0.15,0.975,1.5
0.175,0.975,1.5
0.2,0.975,1.5
0.225,0.975,1.5
0.25,0.975,1.5
0.275,0.975,1.5
0.3,0.975,1.5
0.325,0.975,1.5
0.35,0.975,1.5
0.375,0.975,1.5
0.4,0.975,1.5
0.425,0.975,1.5
0.45,0.975,1.5
0.475,0.975,1.5
0.5,0.975,1.5
0.525,0.975,1.5
0.55,0.975,1.5
0.575,0.975,1.5
0.6,0.975,1.5
0.625,0.975,1.5
0.65,0.975,1.5
0.675,0.975,1.5
0.7,0.975,1.5
0.725,0.975,1.5
0.75,0.975,1.5
0.775,0.975,1.5
0.8,0.975,1.5
0.825,0.975,1.5
0.85,0.975,1.5
0.875,0.975,1.5
0.9,0.975,1.5
0.925,0.975,1.5
0.95,0.975,1.5
0.975,0.975,1.5
1,0.975,-0.5
0,0.95,1.5
0.025,0.95,1.5
0.05,0.95,1.5
0.075,0.95,1.5
0.1,0.95,1.5
0.125,0.95,1.5
0.15,0.95,1.5
0.175,0.95,1.5
0.2,0.95,1.5
0.225,0.95,1.5
0.25,0.95,1.5
0.275,0.95,1.5
0.3,0.95,1.5
0.325,0.95,1.5
0.35,0.95,1.5
0.375,0.95,1.5
0.4,0.95,1.5
0.425,0.95,1.5
0.45,0.95,1.5
0.475,0.95,1.5
0.5,0.95,1.5
0.525,0.95,1.5
0.55,0.95,1.5
0.575,0.95,1.5
0.6,0.95,1.5
0.625,0.95,1.5
0.65,0.95,1.5
0.675,0.95,1.5
0.7,0.95,1.5
0.725,0.95,1.5
0.75,0.95,1.5
0.775,0.95,1.5
0.8,0.95,1.5
0.825,0.95,1.5
0.85,0.95,1.5
0.875,0.95,1.5
0.9,0.95,1.5
0.925,0.95,1.5
0.95,0.95,1.5
0.975,0.95,1.5
1,0.95,-0.5
0,0.925,1.5
0.025,0.925,1.5
0.05,0.925,1.5
0.075,0.925,1.5
0.1,0.925,1.5
0.125,0.925,1.5
0.15,0.925,1.5
0.175,0.925,1.5
0.2,0.925,1.5
0.225,0.925,1.5
0.25,0.925,1.5
0.275,0.925,1.5
0.3,0.925,1.5
0.325,0.925,1.5
0.35,0.925,1.5
0.375,0.925,1.5
0.4,0.925,1.5
0.425,0.925,1.5
0.45,0.925,1.5
0.475,0.925,1.5
0.5,0.925,1.5
0.525,0.925,1.5
0.55,0.925,1.5
0.575,0.925,1.5
0.6,0.925,1.5
0.625,0.925,1.5
