time,error
7.33674e-05,57.3049
0.000146735,54.1599
0.000220102,51.7084
0.00029347,49.6455
0.000366837,47.8548
0.000440204,46.2616
0.000513572,44.827
0.000586939,43.5192
0.000660307,42.3199
0.000733674,41.2119
0.000807041,40.1848
0.000880409,39.228
0.000953776,38.3349
0.00102714,37.4984
0.00110051,36.7142
0.00117388,35.977
0.00124725,35.2839
0.00132061,34.6308
0.00139398,34.0156
0.00146735,33.4353
0.00154072,32.8881
0.00161408,32.3715
0.00168745,31.8842
0.00176082,31.4242
0.00183418,30.9904
0.00190755,30.5811
0.00198092,30.1953
0.00205429,29.8317
0.00212765,29.4894
0.00220102,29.1672
0.00227439,28.8643
0.00234776,28.5797
0.00242112,28.3127
0.00249449,28.0624
0.00256786,27.8282
0.00264123,27.6092
0.00271459,27.4049
0.00278796,27.2146
0.00286133,27.0377
0.0029347,26.8736
0.00300806,26.7217
0.00308143,26.5815
0.0031548,26.4525
0.00322817,26.3341
0.00330153,26.2259
0.0033749,26.1275
0.00344827,26.0384
0.00352163,25.9582
0.003595,25.8864
0.00366837,25.8227
0.00374174,25.7667
0.0038151,25.718
0.00388847,25.6763
0.00396184,25.6413
0.00403521,25.6126
0.00410857,25.5899
0.00418194,25.5729
0.00425531,25.5614
0.00432868,25.555
0.00440204,25.5535
