time,error
1.4809e-05,70.0008
2.9618e-05,70.0008
4.4427e-05,70.0008
5.92359e-05,70.0008
7.40449e-05,70.0008
8.88539e-05,70.0007
0.000103663,70.0007
0.000118472,70.0007
0.000133281,70.0007
0.00014809,70.0007
0.000162899,70.0007
0.000177708,70.0007
0.000192517,70.0007
0.000207326,70.0007
0.000222135,70.0006
0.000236944,70.0006
0.000251753,70.0006
0.000266562,70.0006
0.000281371,70.0006
0.00029618,70.0005
0.000310989,70.0005
0.000325798,70.0005
0.000340607,70.0005
0.000355416,70.0004
0.000370225,70.0004
0.000385034,70.0004
0.000399843,70.0004
0.000414652,70.0003
0.000429461,70.0003
0.00044427,70.0003
0.000459079,70.0002
0.000473888,70.0002
0.000488697,70.0002
0.000503506,70.0001
0.000518315,70.0001
0.000533124,70.0001
0.000547933,70
0.000562741,70
0.00057755,69.9999
0.000592359,69.9999
0.000607168,69.9998
0.000621977,69.9998
0.000636786,69.9997
0.000651595,69.9997
0.000666404,69.9997
0.000681213,69.9996
0.000696022,69.9995
0.000710831,69.9995
0.00072564,69.9994
0.000740449,69.9994
0.000755258,69.9993
0.000770067,69.9993
0.000784876,69.9992
0.000799685,69.9991
0.000814494,69.9991
0.000829303,69.999
0.000844112,69.9989
0.000858921,69.9989
0.00087373,69.9988
0.000888539,69.9987
0.000903348,69.9987
0.000918157,69.9986
0.000932966,69.9985
0.000947775,69.9984
0.000962584,69.9984
0.000977393,69.9983
0.000992202,69.9982
0.00100701,69.9981
0.00102182,69.998
0.00103663,69.998
0.00105144,69.9979
0.00106625,69.9978
0.00108106,69.9977
0.00109587,69.9976
0.00111067,69.9975
0.00112548,69.9974
0.00114029,69.9973
0.0011551,69.9972
0.00116991,69.9971
0.00118472,69.997
0.00119953,69.9969
0.00121434,69.9968
0.00122915,69.9967
0.00124395,69.9966
0.00125876,69.9965
0.00127357,69.9964
0.00128838,69.9963
0.00130319,69.9962
0.001318,69.9961
0.00133281,69.9959
0.00134762,69.9958
0.00136243,69.9957
0.00137724,69.9956
0.00139204,69.9955
0.00140685,69.9953
0.00142166,69.9952
0.00143647,69.9951
0.00145128,69.995
0.00146609,69.9948
0.0014809,69.9947
0.00149571,69.9946
0.00151052,69.9944
0.00152533,69.9943
0.00154013,69.9941
0.00155494,69.994
0.00156975,69.9939
0.00158456,69.9937
0.00159937,69.9936
0.00161418,69.9934
0.00162899,69.9933
0.0016438,69.9931
0.00165861,69.993
0.00167342,69.9928
0.00168822,69.9927
0.00170303,69.9925
0.00171784,69.9923
0.00173265,69.9922
0.00174746,69.992
0.00176227,69.9918
0.00177708,69.9917
0.00179189,69.9915
0.0018067,69.9913
0.00182151,69.9912
0.00183631,69.991
0.00185112,69.9908
0.00186593,69.9906
0.00188074,69.9905
0.00189555,69.9903
0.00191036,69.9901
0.00192517,69.9899
0.00193998,69.9897
0.00195479,69.9895
0.0019696,69.9893
0.0019844,69.9891
0.00199921,69.9889
0.00201402,69.9887
0.00202883,69.9885
0.00204364,69.9883
0.00205845,69.9881
0.00207326,69.9879
0.00208807,69.9877
0.00210288,69.9875
0.00211769,69.9873
0.00213249,69.9871
0.0021473,69.9869
0.00216211,69.9867
0.00217692,69.9865
0.00219173,69.9862
0.00220654,69.986
0.00222135,69.9858
0.00223616,69.9856
0.00225097,69.9853
0.00226577,69.9851
0.00228058,69.9849
0.00229539,69.9846
0.0023102,69.9844
0.00232501,69.9842
0.00233982,69.9839
0.00235463,69.9837
0.00236944,69.9834
0.00238425,69.9832
0.00239906,69.983
0.00241386,69.9827
0.00242867,69.9825
0.00244348,69.9822
0.00245829,69.9819
0.0024731,69.9817
0.00248791,69.9814
0.00250272,69.9812
0.00251753,69.9809
0.00253234,69.9806
0.00254715,69.9804
0.00256195,69.9801
0.00257676,69.9798
0.00259157,69.9796
0.00260638,69.9793
0.00262119,69.979
0.002636,69.9787
0.00265081,69.9784
0.00266562,69.9782
0.00268043,69.9779
0.00269524,69.9776
0.00271004,69.9773
0.00272485,69.977
0.00273966,69.9767
0.00275447,69.9764
0.00276928,69.9761
0.00278409,69.9758
0.0027989,69.9755
0.00281371,69.9752
0.00282852,69.9749
0.00284333,69.9746
0.00285813,69.9743
0.00287294,69.974
0.00288775,69.9737
0.00290256,69.9733
0.00291737,69.973
0.00293218,69.9727
0.00294699,69.9724
0.0029618,69.972
0.00297661,69.9717
0.00299142,69.9714
0.00300622,69.9711
0.00302103,69.9707
0.00303584,69.9704
0.00305065,69.9701
0.00306546,69.9697
0.00308027,69.9694
0.00309508,69.969
0.00310989,69.9687
0.0031247,69.9683
0.00313951,69.968
0.00315431,69.9676
0.00316912,69.9673
0.00318393,69.9669
0.00319874,69.9666
0.00321355,69.9662
0.00322836,69.9658
0.00324317,69.9655
0.00325798,69.9651
0.00327279,69.9647
0.0032876,69.9644
0.0033024,69.964
0.00331721,69.9636
0.00333202,69.9632
0.00334683,69.9629
0.00336164,69.9625
0.00337645,69.9621
0.00339126,69.9617
0.00340607,69.9613
0.00342088,69.9609
0.00343568,69.9605
0.00345049,69.9601
0.0034653,69.9597
0.00348011,69.9593
0.00349492,69.9589
0.00350973,69.9585
0.00352454,69.9581
0.00353935,69.9577
0.00355416,69.9573
0.00356897,69.9569
0.00358377,69.9565
0.00359858,69.9561
0.00361339,69.9556
0.0036282,69.9552
0.00364301,69.9548
0.00365782,69.9544
0.00367263,69.9539
0.00368744,69.9535
0.00370225,69.9531
0.00371706,69.9526
0.00373186,69.9522
0.00374667,69.9518
0.00376148,69.9513
0.00377629,69.9509
0.0037911,69.9504
0.00380591,69.95
0.00382072,69.9495
0.00383553,69.9491
0.00385034,69.9486
0.00386515,69.9482
0.00387995,69.9477
0.00389476,69.9473
0.00390957,69.9468
0.00392438,69.9463
0.00393919,69.9459
0.003954,69.9454
0.00396881,69.9449
0.00398362,69.9445
0.00399843,69.944
0.00401324,69.9435
0.00402804,69.943
0.00404285,69.9425
0.00405766,69.9421
0.00407247,69.9416
0.00408728,69.9411
0.00410209,69.9406
0.0041169,69.9401
0.00413171,69.9396
0.00414652,69.9391
0.00416133,69.9386
0.00417613,69.9381
0.00419094,69.9376
0.00420575,69.9371
0.00422056,69.9366
0.00423537,69.9361
0.00425018,69.9356
0.00426499,69.935
0.0042798,69.9345
0.00429461,69.934
0.00430942,69.9335
0.00432422,69.933
0.00433903,69.9324
0.00435384,69.9319
0.00436865,69.9314
0.00438346,69.9309
0.00439827,69.9303
0.00441308,69.9298
0.00442789,69.9292
0.0044427,69.9287
0.0044575,69.9282
0.00447231,69.9276
0.00448712,69.9271
0.00450193,69.9265
0.00451674,69.926
0.00453155,69.9254
0.00454636,69.9249
0.00456117,69.9243
0.00457598,69.9237
0.00459079,69.9232
0.00460559,69.9226
0.0046204,69.922
0.00463521,69.9215
0.00465002,69.9209
0.00466483,69.9203
0.00467964,69.9198
0.00469445,69.9192
0.00470926,69.9186
0.00472407,69.918
0.00473888,69.9174
0.00475368,69.9168
0.00476849,69.9163
0.0047833,69.9157
0.00479811,69.9151
0.00481292,69.9145
0.00482773,69.9139
0.00484254,69.9133
0.00485735,69.9127
0.00487216,69.9121
0.00488697,69.9115
0.00490177,69.9109
0.00491658,69.9103
0.00493139,69.9097
0.0049462,69.909
0.00496101,69.9084
0.00497582,69.9078
0.00499063,69.9072
0.00500544,69.9066
0.00502025,69.9059
0.00503506,69.9053
0.00504986,69.9047
0.00506467,69.9041
0.00507948,69.9034
0.00509429,69.9028
0.0051091,69.9021
0.00512391,69.9015
0.00513872,69.9009
0.00515353,69.9002
0.00516834,69.8996
0.00518315,69.8989
0.00519795,69.8983
0.00521276,69.8976
0.00522757,69.897
0.00524238,69.8963
0.00525719,69.8957
0.005272,69.895
0.00528681,69.8943
0.00530162,69.8937
0.00531643,69.893
0.00533124,69.8923
0.00534604,69.8917
0.00536085,69.891
0.00537566,69.8903
0.00539047,69.8896
0.00540528,69.889
0.00542009,69.8883
0.0054349,69.8876
0.00544971,69.8869
0.00546452,69.8862
0.00547933,69.8855
0.00549413,69.8849
0.00550894,69.8842
0.00552375,69.8835
0.00553856,69.8828
0.00555337,69.8821
0.00556818,69.8814
0.00558299,69.8807
0.0055978,69.88
0.00561261,69.8792
0.00562741,69.8785
0.00564222,69.8778
0.00565703,69.8771
0.00567184,69.8764
0.00568665,69.8757
0.00570146,69.875
0.00571627,69.8742
0.00573108,69.8735
0.00574589,69.8728
0.0057607,69.8721
0.0057755,69.8713
0.00579031,69.8706
0.00580512,69.8699
0.00581993,69.8691
0.00583474,69.8684
0.00584955,69.8676
0.00586436,69.8669
0.00587917,69.8662
0.00589398,69.8654
0.00590879,69.8647
0.00592359,69.8639
0.0059384,69.8632
0.00595321,69.8624
0.00596802,69.8617
0.00598283,69.8609
0.00599764,69.8601
0.00601245,69.8594
0.00602726,69.8586
0.00604207,69.8578
0.00605688,69.8571
0.00607168,69.8563
0.00608649,69.8555
0.0061013,69.8548
0.00611611,69.854
0.00613092,69.8532
0.00614573,69.8524
0.00616054,69.8517
0.00617535,69.8509
0.00619016,69.8501
0.00620497,69.8493
0.00621977,69.8485
0.00623458,69.8477
0.00624939,69.8469
0.0062642,69.8461
0.00627901,69.8453
0.00629382,69.8445
0.00630863,69.8437
0.00632344,69.8429
0.00633825,69.8421
0.00635306,69.8413
0.00636786,69.8405
0.00638267,69.8397
0.00639748,69.8389
0.00641229,69.8381
0.0064271,69.8373
0.00644191,69.8364
0.00645672,69.8356
0.00647153,69.8348
0.00648634,69.834
0.00650115,69.8331
0.00651595,69.8323
0.00653076,69.8315
0.00654557,69.8307
0.00656038,69.8298
0.00657519,69.829
0.00659,69.8282
0.00660481,69.8273
0.00661962,69.8265
0.00663443,69.8256
0.00664923,69.8248
0.00666404,69.8239
0.00667885,69.8231
0.00669366,69.8222
0.00670847,69.8214
0.00672328,69.8205
0.00673809,69.8197
0.0067529,69.8188
0.00676771,69.818
0.00678252,69.8171
0.00679732,69.8162
0.00681213,69.8154
0.00682694,69.8145
0.00684175,69.8137
0.00685656,69.8128
0.00687137,69.8119
0.00688618,69.811
0.00690099,69.8102
0.0069158,69.8093
0.00693061,69.8084
0.00694541,69.8075
0.00696022,69.8066
0.00697503,69.8058
0.00698984,69.8049
0.00700465,69.804
0.00701946,69.8031
0.00703427,69.8022
0.00704908,69.8013
0.00706389,69.8004
0.0070787,69.7995
0.0070935,69.7986
0.00710831,69.7977
0.00712312,69.7968
0.00713793,69.7959
0.00715274,69.795
0.00716755,69.7941
0.00718236,69.7932
