time,error
5.18315e-05,67.9337
0.000103663,68.0829
0.000155494,68.0829
0.000207326,68.23
0.000259157,68.23
0.000310989,68.3751
0.00036282,68.3751
0.000414652,68.5183
0.000466483,68.5183
0.000518315,68.6597
0.000570146,68.6597
0.000621977,68.7993
0.000673809,68.7993
0.00072564,68.9374
0.000777472,68.9374
0.000829303,69.0739
0.000881135,69.0739
0.000932966,69.2089
0.000984798,69.2089
0.00103663,69.3427
0.00108846,69.3427
0.00114029,69.4751
0.00119212,69.4751
0.00124395,69.6064
0.00129579,69.6064
0.00134762,69.7365
0.00139945,69.7365
0.00145128,69.8656
0.00150311,69.8656
0.00155494,69.9937
0.00160678,69.9937
0.00165861,70.1208
0.00171044,70.1208
0.00176227,70.2471
0.0018141,70.2471
0.00186593,70.3725
0.00191776,70.3725
0.0019696,70.4972
0.00202143,70.4972
0.00207326,70.6211
0.00212509,70.6211
0.00217692,70.7443
0.00222875,70.7443
0.00228058,70.8669
0.00233242,70.8669
0.00238425,70.9889
0.00243608,70.9889
0.00248791,71.1103
0.00253974,71.1103
