Position_x,Position_y,value
0,1,1.5
0.05,1,1.5
0.1,1,1.5
0.15,1,1.5
0.2,1,1.5
0.25,1,1.5
0.3,1,1.5
0.35,1,1.5
0.4,1,1.5
0.45,1,1.5
0.5,1,1.5
0.55,1,1.5
0.6,1,1.5
0.65,1,1.5
0.7,1,1.5
0.75,1,1.5
0.8,1,1.5
0.85,1,1.5
0.9,1,1.5
0.95,1,1.5
1,1,1.5
0,0.95,1.5
0.05,0.95,1.47318
0.1,0.95,1.47315
0.15,0.95,1.47314
0.2,0.95,1.47314
0.25,0.95,1.47314
0.3,0.95,1.47314
0.35,0.95,1.47314
0.4,0.95,1.47314
0.45,0.95,1.47314
0.5,0.95,1.47314
0.55,0.95,1.47314
0.6,0.95,1.47314
0.65,0.95,1.47314
0.7,0.95,1.47314
0.75,0.95,1.47314
0.8,0.95,1.47314
0.85,0.95,1.47314
0.9,0.95,1.47377
0.95,0.95,1.47364
1,0.95,-0.5
0,0.9,1.5
0.05,0.9,1.4732
0.1,0.9,1.47317
0.15,0.9,1.47316
0.2,0.9,1.47316
0.25,0.9,1.47316
0.3,0.9,1.47316
0.35,0.9,1.47316
0.4,0.9,1.47316
0.45,0.9,1.47316
0.5,0.9,1.47316
0.55,0.9,1.47316
0.6,0.9,1.47316
0.65,0.9,1.47316
0.7,0.9,1.47316
0.75,0.9,1.47316
0.8,0.9,1.47316
0.85,0.9,1.47316
0.9,0.9,1.47379
0.95,0.9,1.47416
1,0.9,-0.5
0,0.85,1.5
0.05,0.85,1.47321
0.1,0.85,1.47318
0.15,0.85,1.47317
0.2,0.85,1.47317
0.25,0.85,1.47317
0.3,0.85,1.47317
0.35,0.85,1.47317
0.4,0.85,1.47317
0.45,0.85,1.47317
0.5,0.85,1.47317
0.55,0.85,1.47317
0.6,0.85,1.47317
0.65,0.85,1.47317
0.7,0.85,1.47317
0.75,0.85,1.47317
0.8,0.85,1.47317
0.85,0.85,1.47317
0.9,0.85,1.4738
0.95,0.85,1.47417
1,0.85,-0.5
0,0.8,1.5
0.05,0.8,1.47321
0.1,0.8,1.47318
0.15,0.8,1.47317
0.2,0.8,1.47317
0.25,0.8,1.47317
0.3,0.8,1.47317
0.35,0.8,1.47317
0.4,0.8,1.47317
0.45,0.8,1.47317
0.5,0.8,1.47317
0.55,0.8,1.47317
0.6,0.8,1.47317
0.65,0.8,1.47317
0.7,0.8,1.47317
0.75,0.8,1.47317
0.8,0.8,1.47317
0.85,0.8,1.47317
0.9,0.8,1.4738
0.95,0.8,1.47417
1,0.8,-0.5
0,0.75,1.5
0.05,0.75,1.47321
0.1,0.75,1.47318
0.15,0.75,1.47317
0.2,0.75,1.47317
0.25,0.75,1.47317
0.3,0.75,1.47317
0.35,0.75,1.47317
0.4,0.75,1.47317
0.45,0.75,1.47317
0.5,0.75,1.47317
0.55,0.75,1.47317
0.6,0.75,1.47317
0.65,0.75,1.47317
0.7,0.75,1.47317
0.75,0.75,1.47317
0.8,0.75,1.47317
0.85,0.75,1.47317
0.9,0.75,1.4738
0.95,0.75,1.47417
1,0.75,-0.5
0,0.7,1.5
0.05,0.7,1.47321
0.1,0.7,1.47318
0.15,0.7,1.47317
0.2,0.7,1.47317
0.25,0.7,1.47317
0.3,0.7,1.47317
0.35,0.7,1.47317
0.4,0.7,1.47317
0.45,0.7,1.47317
0.5,0.7,1.47317
0.55,0.7,1.47317
0.6,0.7,1.47317
0.65,0.7,1.47317
0.7,0.7,1.47317
0.75,0.7,1.47317
0.8,0.7,1.47317
0.85,0.7,1.47317
0.9,0.7,1.4738
0.95,0.7,1.47417
1,0.7,-0.5
0,0.65,1.5
0.05,0.65,1.47321
0.1,0.65,1.47318
0.15,0.65,1.47317
0.2,0.65,1.47317
0.25,0.65,1.47317
0.3,0.65,1.47317
0.35,0.65,1.47317
0.4,0.65,1.47317
