Position_x,Position_y,value
0,1,1.5
0.05,1,1.5
0.1,1,1.5
0.15,1,1.5
0.2,1,1.5
0.25,1,1.5
0.3,1,1.5
0.35,1,1.5
0.4,1,1.5
0.45,1,1.5
0.5,1,1.5
0.55,1,1.5
0.6,1,1.5
0.65,1,1.5
0.7,1,1.5
0.75,1,1.5
0.8,1,1.5
0.85,1,1.5
0.9,1,1.5
0.95,1,1.5
1,1,1.5
0,0.95,1.5
0.05,0.95,1.4993
0.1,0.95,1.49855
0.15,0.95,1.49772
0.2,0.95,1.49672
0.25,0.95,1.49541
0.3,0.95,1.49357
0.35,0.95,1.49089
0.4,0.95,1.4869
0.45,0.95,1.48096
0.5,0.95,1.47222
0.55,0.95,1.45957
0.6,0.95,1.44149
0.65,0.95,1.416
0.7,0.95,1.38011
0.75,0.95,1.32912
0.8,0.95,1.25432
0.85,0.95,1.13742
0.9,0.95,0.93377
0.95,0.95,0.518944
1,0.95,-0.5
0,0.9,1.5
0.05,0.9,1.4986
0.1,0.9,1.49713
0.15,0.9,1.49548
0.2,0.9,1.4935
0.25,0.9,1.49092
0.3,0.9,1.48733
0.35,0.9,1.48208
0.4,0.9,1.4743
0.45,0.9,1.46276
0.5,0.9,1.44584
0.55,0.9,1.42142
0.6,0.9,1.3868
0.65,0.9,1.33832
0.7,0.9,1.27115
0.75,0.9,1.17795
0.8,0.9,1.04721
0.85,0.9,0.858866
0.9,0.9,0.577379
0.95,0.9,0.143715
1,0.9,-0.5
0,0.85,1.5
0.05,0.85,1.49792
0.1,0.85,1.49572
0.15,0.85,1.49328
0.2,0.85,1.49037
0.25,0.85,1.48659
0.3,0.85,1.48134
0.35,0.85,1.47375
0.4,0.85,1.46252
0.45,0.85,1.44596
0.5,0.85,1.42178
0.55,0.85,1.38714
0.6,0.85,1.33837
0.65,0.85,1.271
0.7,0.85,1.17921
0.75,0.85,1.05552
0.8,0.85,0.889472
0.85,0.85,0.666804
0.9,0.85,0.368683
0.95,0.85,-0.022626
1,0.85,-0.5
0,0.8,1.5
0.05,0.8,1.49723
0.1,0.8,1.49431
0.15,0.8,1.49109
0.2,0.8,1.48727
0.25,0.8,1.48235
0.3,0.8,1.47561
0.35,0.8,1.46589
0.4,0.8,1.45166
0.45,0.8,1.43076
0.5,0.8,1.4005
0.55,0.8,1.3574
0.6,0.8,1.29738
0.65,0.8,1.21543
0.7,0.8,1.10591
0.75,0.8,0.961984
0.8,0.8,0.776115
0.85,0.8,0.539862
0.9,0.8,0.246149
0.95,0.8,-0.10592
1,0.8,-0.5
0,0.75,1.5
0.05,0.75,1.4965
0.1,0.75,1.49284
0.15,0.75,1.48881
0.2,0.75,1.48408
0.25,0.75,1.47808
0.3,0.75,1.46993
0.35,0.75,1.45836
0.4,0.75,1.44152
0.45,0.75,1.41705
0.5,0.75,1.38182
0.55,0.75,1.33214
0.6,0.75,1.26351
0.65,0.75,1.17109
0.7,0.75,1.04939
0.75,0.75,0.893085
0.8,0.75,0.696896
0.85,0.75,0.457044
0.9,0.75,0.172478
0.95,0.75,-0.15154
1,0.75,-0.5
0,0.7,1.5
0.05,0.7,1.49568
0.1,0.7,1.49117
0.15,0.7,1.48626
0.2,0.7,1.48057
0.25,0.7,1.47347
0.3,0.7,1.464
0.35,0.7,1.45072
0.4,0.7,1.43168
0.45,0.7,1.40423
0.5,0.7,1.36515
0.55,0.7,1.31039
0.6,0.7,1.2356
0.65,0.7,1.13582
0.7,0.7,1.00637
0.75,0.7,0.84277
0.8,0.7,0.641938
0.85,0.7,0.402541
0.9,0.7,0.126845
0.95,0.7,-0.1783
1,0.7,-0.5
0,0.65,1.5
0.05,0.65,1.49468
0.1,0.65,1.48915
0.15,0.65,1.48319
0.2,0.65,1.47639
0.25,0.65,1.46809
0.3,0.65,1.45724
0.35,0.65,1.44235
0.4,0.65,1.42131
