Position_x,Position_y,value
0,1,1.5
0.025,1,1.5
0.05,1,1.5
0.075,1,1.5
0.1,1,1.5
0.125,1,1.5
0.15,1,1.5
0.175,1,1.5
0.2,1,1.5
0.225,1,1.5
0.25,1,1.5
0.275,1,1.5
0.3,1,1.5
0.325,1,1.5
0.35,1,1.5
0.375,1,1.5
0.4,1,1.5
0.425,1,1.5
0.45,1,1.5
0.475,1,1.5
0.5,1,1.5
0.525,1,1.5
0.55,1,1.5
0.575,1,1.5
0.6,1,1.5
0.625,1,1.5
0.65,1,1.5
0.675,1,1.5
0.7,1,1.5
0.725,1,1.5
0.75,1,1.5
0.775,1,1.5
0.8,1,1.5
0.825,1,1.5
0.85,1,1.5
0.875,1,1.5
0.9,1,1.5
0.925,1,1.5
0.95,1,1.5
0.975,1,1.5
1,1,1.5
0,0.975,1.5
0.025,0.975,1.52805
0.05,0.975,1.53085
0.075,0.975,1.52921
0.1,0.975,1.52858
0.125,0.975,1.52857
0.15,0.975,1.5286
0.175,0.975,1.52861
0.2,0.975,1.52861
0.225,0.975,1.52861
0.25,0.975,1.52861
0.275,0.975,1.52861
0.3,0.975,1.52861
0.325,0.975,1.52861
0.35,0.975,1.52861
0.375,0.975,1.52861
0.4,0.975,1.52861
0.425,0.975,1.52861
0.45,0.975,1.52861
0.475,0.975,1.52861
0.5,0.975,1.52861
0.525,0.975,1.52861
0.55,0.975,1.52861
0.575,0.975,1.52861
0.6,0.975,1.52861
0.625,0.975,1.52861
0.65,0.975,1.52861
0.675,0.975,1.52861
0.7,0.975,1.52861
0.725,0.975,1.52861
0.75,0.975,1.5286
0.775,0.975,1.52861
0.8,0.975,1.52874
0.825,0.975,1.52894
0.85,0.975,1.52699
0.875,0.975,1.51944
0.9,0.975,1.52807
0.925,0.975,1.63493
0.95,0.975,1.82847
0.975,0.975,1.53715
1,0.975,-0.5
0,0.95,1.5
0.025,0.95,1.53005
0.05,0.95,1.5331
0.075,0.95,1.53132
0.1,0.95,1.53064
0.125,0.95,1.53062
0.15,0.95,1.53066
0.175,0.95,1.53066
0.2,0.95,1.53066
0.225,0.95,1.53066
0.25,0.95,1.53066
0.275,0.95,1.53066
0.3,0.95,1.53066
0.325,0.95,1.53066
0.35,0.95,1.53066
0.375,0.95,1.53066
0.4,0.95,1.53066
0.425,0.95,1.53066
0.45,0.95,1.53066
0.475,0.95,1.53066
0.5,0.95,1.53066
0.525,0.95,1.53066
0.55,0.95,1.53066
0.575,0.95,1.53066
0.6,0.95,1.53066
0.625,0.95,1.53066
0.65,0.95,1.53066
0.675,0.95,1.53066
0.7,0.95,1.53066
0.725,0.95,1.53066
0.75,0.95,1.53065
0.775,0.95,1.53066
0.8,0.95,1.5308
0.825,0.95,1.53103
0.85,0.95,1.52888
0.875,0.95,1.52067
0.9,0.95,1.53031
0.925,0.95,1.6458
0.95,0.95,1.84933
0.975,0.95,1.53993
1,0.95,-0.5
0,0.925,1.5
0.025,0.925,1.5282
0.05,0.925,1.53103
0.075,0.925,1.52937
0.1,0.925,1.52874
0.125,0.925,1.52872
0.15,0.925,1.52876
0.175,0.925,1.52876
0.2,0.925,1.52876
0.225,0.925,1.52876
0.25,0.925,1.52876
0.275,0.925,1.52876
0.3,0.925,1.52876
0.325,0.925,1.52876
0.35,0.925,1.52876
0.375,0.925,1.52876
0.4,0.925,1.52876
0.425,0.925,1.52876
